#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.001728	2.2181890247153228e-10	3.094418845174255e-11	1.9141611158587486e-08
0.003876	6.249643511403574e-10	4.817745367578534e-12	3.807060087335403e-09
0.004860000000000001	6.704393842927422e-10	2.596610668014136e-12	2.4229717532167206e-09
0.005968	6.751103970020917e-10	1.3558046643285559e-12	1.608283772987798e-09
0.008307	6.204851890345821e-10	2.9834126055102014e-13	8.323760874124641e-10
0.010917	5.403039704678686e-10	7.726901434812718e-14	4.839945182881313e-10
0.013851	4.62276614891381e-10	2.1441628446687565e-13	3.025118519673467e-10
0.016395	4.0811976361644e-10	2.5213818644495515e-13	2.1729622585131275e-10
0.017117999999999998	3.947334969770639e-10	2.5664851335955463e-13	1.9972435137571282e-10
0.021030999999999998	3.345126101714791e-10	2.5909277309709543e-13	1.3391341001026246e-10
0.030731	2.4183795594644005e-10	2.206196355165234e-13	6.51393630435659e-11
0.030775	2.4153425813434494e-10	2.2042923626030972e-13	6.496595328505817e-11
0.045511	1.7032918085710755e-10	1.6691362512415806e-13	3.2043967774671545e-11
0.045515	1.7031565016600204e-10	1.6690196517419225e-13	3.203907301215635e-11
0.060826000000000005	1.308450605414836e-10	1.3092959339717384e-13	1.9739231932931647e-11
0.06086	1.307782808334708e-10	1.308656892139022e-13	1.9721654744759457e-11
0.07623300000000001	1.0640097294449205e-10	1.069573025597987e-13	1.3992826995918192e-11
0.07624	1.0639200457588401e-10	1.0694830969302638e-13	1.3990965907889652e-11
0.092761	8.883702845817488e-11	8.911004810759183e-14	1.0681277349420847e-11
0.09278499999999999	8.881587455218868e-11	8.908829275127182e-14	1.0677683512727519e-11
0.11323000000000001	7.392565700984639e-11	7.364826128616053e-14	8.374767723790522e-12
0.11326000000000001	7.39075965645694e-11	7.362939863447332e-14	8.372244281941633e-12
0.145641	5.859773979298797e-11	5.755777757841998e-14	6.458036211768999e-12
0.18975	4.588695146667739e-11	4.415424445489628e-14	5.192517485846989e-12
