#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.029159	2.0836145192958108e-10	9.669688497262343e-13	7.181495680619565e-11
0.054655	1.3118747441025616e-10	1.93119322647507e-12	2.0440916214867103e-11
0.080949	1.1157483014309711e-10	1.8023897207011724e-12	9.318310532607707e-12
0.108241	9.023483076300244e-11	7.75084281413788e-13	5.211665859317812e-12
0.14180600000000002	7.474941851249879e-11	2.522931986617887e-12	3.0364836133693087e-12
0.189168	5.828531334214035e-11	1.1828231886827425e-12	1.7063370111372743e-12
0.272206	4.382135810566397e-11	9.121619413275278e-13	8.240712595744464e-13
