0.016844	2.2525021926077427e-10	8.251910444771323e-12	2.064719516177988e-10
0.019947	2.1968608727837354e-10	8.356261484858463e-12	1.484588070308336e-10
0.021468	2.1704676276414138e-10	3.595054761269764e-12	1.2875749086119318e-10
0.023291	2.1393578247460268e-10	9.033098434790924e-12	1.1004288187212779e-10
0.026883	2.0829809779223058e-10	9.767903977662946e-12	8.368945471722102e-11
0.030223	2.0329410023478425e-10	8.712235001529824e-12	6.713254971388461e-11
0.033644	1.9835935421577642e-10	7.406115065908218e-12	5.5028250422382617e-11
0.03699	1.9401138291466297e-10	1.0450024126756412e-11	4.6291292136415375e-11
0.040240000000000005	1.890686286813899e-10	1.8603188103020515e-12	3.980822151265107e-11
0.040416	1.8883830790088585e-10	9.448238576721155e-12	3.950117793444988e-11
0.043842	1.8523874851077012e-10	9.985438982966068e-12	3.424264864867619e-11
0.047269	1.80946027425785e-10	8.002239398830347e-12	3.008670614458875e-11
0.050778	1.7700799938360654e-10	8.235612108004291e-12	2.6675283069604534e-11
0.0596	1.6747991060333418e-10	1.8593191446858897e-12	2.060902805019574e-11
0.079694	1.488815768697858e-10	1.8317348760611595e-12	1.3549977377146254e-11
0.09983199999999999	1.3364903040842192e-10	2.3006655019105513e-12	1.0312583793997777e-11
0.119993	1.208711886216776e-10	2.275740593795103e-12	8.563375511693346e-12
0.13942	1.1043889694698116e-10	2.346402629951431e-12	7.537735429699305e-12
0.158905	1.014222618075374e-10	2.8587057693534507e-12	6.852779171290949e-12
0.179091	9.333996021761435e-11	3.0748453754609065e-12	6.35154177192945e-12
0.19928	8.630279135997894e-11	2.192238095609519e-12	5.978777351633873e-12
0.219472	8.010817052403147e-11	1.328587590427118e-12	5.687269466989527e-12
0.24188	7.411605217667519e-11	3.4751717724685925e-12	5.425865070597631e-12
