0.014106	2.288443158125704e-10	2.4304661775237354e-12	1.6689921362826246e-10
0.019527000000000003	2.1021785747139048e-10	2.6686505990004543e-12	8.912763463435946e-11
0.027386	1.876231995330252e-10	1.6318599595529995e-12	4.719333497835872e-11
0.033484	1.7198738167332197e-10	9.533627146781758e-13	3.271285887710786e-11
0.039817	1.586177253489439e-10	1.255805327177698e-12	2.408874239056537e-11
0.059821	1.252257112630271e-10	1.1718084965859685e-12	1.2342106245232009e-11
0.062764	1.2150775526117543e-10	1.3822577609076706e-12	1.1467476136307546e-11
0.093396	9.028981821503572e-11	9.551421871887135e-13	6.562338818424032e-12
0.115425	7.513926719846245e-11	1.0374280075736168e-12	5.068426345597957e-12
0.196193	5.1193185357579105e-11	9.653608213352045e-13	2.951222421627551e-12
