#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.041052	2.591366804583587e-10	4.105545321378473e-12	6.204897478561429e-11
0.07694799999999999	1.8071915670497437e-10	4.2133090399536295e-12	1.766072703171152e-11
0.113967	1.5307499572532934e-10	4.59119785010242e-12	8.050910857912391e-12
0.152391	1.2811288903215193e-10	6.4050806158163605e-12	4.5028202735000285e-12
0.19090100000000002	1.1088151435938898e-10	8.578287256238872e-12	2.8693719198534804e-12
0.238126	9.412108448821073e-11	8.716575068008533e-12	1.8441218645121906e-12
0.312122	7.58191695744891e-11	6.4757802740690885e-12	1.0733824456428007e-12
0.407178	5.899107190649767e-11	8.400607965868591e-12	6.307171511488229e-13
