#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.022702000000000003	2.6281837253150753e-10	8.848552499256835e-12	1.6783982075912152e-10
0.024312999999999998	2.527593761548002e-10	2.7363896609394434e-12	1.4652479219893345e-10
0.032295000000000004	2.0767253589393576e-10	7.590283946404993e-12	8.368857648349017e-11
0.043058	1.6867733044075445e-10	7.960302881654326e-12	4.7739126129320016e-11
0.048297	1.5436414312029315e-10	4.1731739779057946e-12	3.825753037755546e-11
0.054269	1.4055955337142697e-10	7.356211240226392e-12	3.0620654340589804e-11
0.066228	1.1866666381754443e-10	5.921418867200761e-12	2.1068504586985354e-11
0.079478	1.0066732874233562e-10	1.3311627252089173e-12	1.5102351488875263e-11
0.118631	6.785348369132039e-11	7.377537022474429e-13	7.62615182556682e-12
0.167859	4.536395995306576e-11	5.103889079725958e-13	4.598629466298979e-12
0.234475	3.4879801513374953e-11	6.713782378111397e-13	3.2231592032028798e-12
