#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.051005	1.7741196790914314e-10	5.949621333644274e-12	4.389938083807875e-11
0.08692	1.4142115231644987e-10	6.412288523879935e-12	1.5116263838040053e-11
0.12360700000000001	1.1819578902325048e-10	4.051997604272219e-12	7.474768843758931e-12
0.164546	9.815764148204065e-11	2.679313054633109e-12	4.218025879755488e-12
0.210951	8.18608446184999e-11	3.495026596498238e-12	2.5663785799084484e-12
0.27146499999999996	6.635232616323637e-11	4.9336068510453315e-12	1.5497306088684247e-12
0.36393000000000003	5.10398314888046e-11	4.217764829364414e-12	8.622797434820906e-13
